startupID,startupName,ICBindustry,ICBsector,accelaratorResult,accelerator,accleratorDate,businessModel,,description,equityValuation,foundedDate,groupClassification,incubator,incubatorDate,incubatorResult,investmentStage,investorName,investorType,keyword,linkedinURL,dealInvestmentAmount,roundDate,roundInvestmentAmount,roundInvestorCount,roundLeadInvestorType,roundValuation,source,startupClassification,stageClassification,startupStatus,state,city,founderName,website,Lat,Lon,Old value
YNOS0309,BITE CLUB,Technology,Software & Computer Services,,,,B2C,," Bite Club enables users to order meal from a dynamic changing menu through its Android app. The food is prepared by aggregated people like home chefs, amateur chefs and professional chefs.","['', '']",,['Food Products'],,,,"['Seed Funding', 'Seed Funding']","['ALOK MITTAL', 'ASHISH KASHYAP']","['Angel', 'Angel']",['Food delivery'],"['', 'https://in.linkedin.com/in/ashishkashyap']","['', '']","[Timestamp('2015-03-09 00:00:00'), Timestamp('2015-03-09 00:00:00')]","[32.07624129, 32.07624129]",,,,TrakIn,['Hyperlocal and Logistics'],"['Pre-Seed', 'Pre-Seed']",Angel investment,Haryana,Gurgaon,"['Prateek Agarwal', 'Siddharth Sharma', 'Aushim Krishan']",http://www.biteclub.in,28.457523,77.026344,Gurgaon
YNOS0310,BITGIVING,Financials,Financial services,,,,B2C,,"BitGiving is an online crowdfunding platform to raise funds that gives wings to entrepreneurial ideas, creative minds and social issues.","['', '', '']",2013-05-12,['Crowdfunding'],,,,"['Seed Funding', 'Seed Funding', 'Seed Funding']","['HARMINDER SAHNI', 'KRISHNA MEHRA', 'SANJAY BAKSHI']","['Angel', 'Angel', 'Angel']",['Crowdfunding platform'],"['https://in.linkedin.com/in/harmindersahni', 'https://www.linkedin.com/in/kpowerinfinity', '']","['', '', '']","[Timestamp('2016-01-29 00:00:00'), Timestamp('2016-01-29 00:00:00'), Timestamp('2016-01-29 00:00:00')]","['', '', '']",,,,TrakIn,['Fin-Tech and Payments'],"['', '', '']",,Delhi,New Delhi,"['FAHAD MOTI KHAN', 'ISHITA ANAND', 'ISHITA ANAND']",http://www.bitgiving.com,28.526592,77.290169,New Delhi
YNOS0311,BITNOMIX TECHNOLOGIES,Technology,Software & Computer Services,,,,B2B,,We at Bitnomix build great mobile software driven by design and data.,"[817.9441528, 144.13112819999998]",2014-01-01,['Internet and software development'],,,,"['Seed', 'Seed']","['PRANAY CHULET', 'SAHIL BARUA']","['Angel', 'Angel']",['Mobile software'],"['', '']","['', '']","[Timestamp('2015-02-10 00:00:00'), Timestamp('2015-02-10 00:00:00')]","[32.71776611, 32.71776611]",,,,VCC,['Software and Internet Services'],"['Seed', 'Seed']",,Tamil Nadu,Chennai,"['MUTHUSAMY SADAIAPPAN', 'ARAVIND SADAIAPPAN', 'UMESH FERNANDO']",http://www.zimply.in,12.981241,80.20945,Chennai
YNOS0317,BLACKBUCK,Technology,Software & Computer Services,,,,B2B,,"Keeping technology at the core, BlackBuck is redefining the logistics landscape of India, making it reliable and efficient. Their approach to problems creates impact on the entire ecosystem of transportation, which stitches across large number of livelihoods.",[''],,['Transportation Services'],,,,['Private Equity'],['YURI MILNER'],['Angel'],"['Logistics services', 'Transportation']",[''],[''],[Timestamp('2015-12-10 00:00:00')],[1603.812064],,,,TrakIn,['Hyperlocal and Logistics'],['Series C or Higher'],Angel investment,Karnataka,Bengaluru,"['Chanakya Hridhaya', 'Rajesh Yabaji', 'Rama Subramanian B']",,13.094454,77.586014,Bengaluru
YNOS0318,BLACKCOTTON SOLUTIONS,Consumer Services,Retail,,,,B2C,,"Mobile based platform for on-demand utility services like plumbing, electrical, carpenter, repair, pest control etc. They have a mobile first (mobile only) approach. ","[140.4939368, 140.4939368, 140.4939368, 140.4939368, 140.4939368, 140.4939368, 140.4939368, 140.4939368, 140.4939368, 140.4939368, 140.4939368, 140.4939368, 140.4939368]",2014-01-01,['Utility services'],,,,"['Seed', 'Seed', 'Seed', 'Seed', 'Seed', 'Seed', 'Seed', 'Seed', 'Seed', 'Seed', 'Seed', 'Seed', 'Seed']","['AATIF AHMED MISBAH', 'AMITH SRIKRISHNA AGARWAL', 'ASHISH RAMESHKUMAR GOENKA', 'ASHWIN LIMAYE', 'GAGANKUMAR SURESHCHANDRA GOYAL', 'PIYUSH GOYAL', 'SAMEER RAJ PARWANI', 'SHUBHAM GUPTA', 'UTSAV SOMANI', 'VAMSI KRISHNA PARUCHURI', 'VINAY SOMANI', 'VISWANATH RAMACHANDRAN', 'ZISHAAN HAYATH']","['Angel', 'Angel', 'Angel', 'Angel', 'Angel', 'Angel', 'Angel', 'Angel', 'Angel', 'Angel', 'Angel', 'Angel', 'Angel']",['On demand utility services'],"['https://www.linkedin.com/in/aatifmisbah', 'http://www.vccircle.com/news/transportation/2016/02/18/idfc-pe-part-exits-staragri-part-temasek-deal', 'http://www.bloomberg.com/profiles/people/1915406-ashish-rameshkumar-goenka', 'https://www.linkedin.com/in/ashwinlimaye', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '']","[Timestamp('2015-03-01 00:00:00'), Timestamp('2015-03-01 00:00:00'), Timestamp('2015-03-01 00:00:00'), Timestamp('2015-03-01 00:00:00'), Timestamp('2015-03-01 00:00:00'), Timestamp('2015-03-01 00:00:00'), Timestamp('2015-03-01 00:00:00'), Timestamp('2015-03-01 00:00:00'), Timestamp('2015-03-01 00:00:00'), Timestamp('2015-03-01 00:00:00'), Timestamp('2015-03-01 00:00:00'), Timestamp('2015-03-01 00:00:00'), Timestamp('2015-03-01 00:00:00')]","[21.81184407, 21.81184407, 21.81184407, 21.81184407, 21.81184407, 21.81184407, 21.81184407, 21.81184407, 21.81184407, 21.81184407, 21.81184407, 21.81184407, 21.81184407]",,,,VCC,['Consumer Products and Services'],"['Pre-Seed', 'Pre-Seed', 'Pre-Seed', 'Pre-Seed', 'Pre-Seed', 'Pre-Seed', 'Pre-Seed', 'Pre-Seed', 'Pre-Seed', 'Pre-Seed', 'Pre-Seed', 'Pre-Seed', 'Pre-Seed']",Angel investment,Maharashtra,Mumbai,"['Naman Lahoty', 'Abhinav Agarwal']",http://www.doormint.in,19.180874,72.857452,Mumbai
YNOS0319,BLINGE,Consumer Goods,personal and household goods,,,,B2C,,An online fashion platform where women can rent entire looks for their special occasions without burning a hole in their wallet.,,2015-01-01,['Fashion'],,,,,['ANUPAM MITTAL'],,"['Fashion ', 'Women']",,,"[Timestamp('2016-07-01 00:00:00'), '', '']","['', '', '']","[1.0, '', '']","['Angel investors', '', '']","['', '', '']",VI,['Internet marketplace and e-commerce'],,Angel investment,Maharashtra,Mumbai,"['SHASHWAT GOPAL', 'POOJA DUBEY', 'SHIKHAR KHANNA']",http://www.blinge.in,19.180874,72.857452,Mumbai
YNOS0323,BLOOMSKART RETAIL,Consumer Goods,personal and household goods,,,,B2C,,"Bloomskart Retail Private Limited provides an online retail platform for grocery, household, and personal care products. It offers flowers; and gifts for various occasions, such as marriages, birthdays, and anniversaries.","['', '']",2013-01-01,['Marketplace'],,,,"['Seed', 'Seed']","['AJEET SINGH BALWANT SINGH KHURANA', 'ANIRUDDHA MALPANI']","['Angel', 'Angel']",['Marketplace for household product'],"['', '']","[5.773723432000001, 10.08385524]","[Timestamp('2015-08-11 00:00:00'), Timestamp('2016-04-11 00:00:00')]","[5.773723432000001, 10.08385524]",,,,VCC,['Internet marketplace and e-commerce'],"['Pre-Seed', 'Pre-Seed']",Angel investment,Rajasthan,Jaipur,['VISHWAS SHRINGI'],http://bloomskart.com,26.87063,75.693398,Jaipur
YNOS0324,BLUBOX,Technology,Software & Computer Services,,,,B2B,,"Blue Box Media Pvt. Ltd. Owns and manages two online portals, which are widely read across the nation. A Digital Media start-up from India, striving towards changing India's digital scenario.",[''],2011-01-01,['Technology and Software for the media and entertainment industry '],,,,['Seed Funding'],['ASHISH JHALANI'],['Angel'],['Digital Media'],['https://in.linkedin.com/in/ashishjhalani'],[6.415248257000001],[Timestamp('2015-09-04 00:00:00')],[6.415248257000001],,,,TrakIn,['Media Advertising and Gaming'],['Pre-Seed'],Angel investment,Rajasthan,Jaipur,"['Pawas Jain', 'Deepanshu Khandelwal']",http://blubox.in/index.html,26.87063,75.693398,Jaipur
YNOS0326,BLUE BOX MEDIA,Technology,Software & Computer Services,,,,B2B,,"Blue Box Media Pvt. Ltd. Owns and manages two online portals, which are widely read across the nation. A Digital Media start-up from India, striving towards changing India's digital scenario.","['', '', '', '', '', '', '', '', '', '', '', '', '']",2011-01-01,['Technology and Software for the media and entertainment industry '],,,,"['Seed', 'Seed', 'Seed', 'Seed', 'Seed', 'Seed', 'Seed', 'Seed', 'Seed', 'Seed', 'Seed', 'Seed', 'Seed']","['AJAY DATA', 'JITENDRA KUMAR AGARWAL', 'KAMAL KOTHARI', 'MAHAVIR PRATAP SHARMA', 'PUNEET MITTAL', 'SANJAY YADAV', 'SIDDHARTH AGARWAL', 'VIVEK NATHANY', 'YOGESH CHOUDHARY', 'AJAY DATTA', 'MAHAVIR P SHARMA', 'PUNEET MITTAL', 'SANJAY YADAV']","['Angel', 'Angel', 'Angel', 'Angel', 'Angel', 'Angel', 'Angel', 'Angel', 'Angel', 'Angel', 'Angel', 'Angel', 'Angel']",['Digital Media'],"['https://in.linkedin.com/in/ajaykdata', 'https://in.linkedin.com/in/jitendra-kumar-agarwal-8680606', 'http://www.guinessonline.net/kamalkumarkothari.aspx', 'https://in.linkedin.com/in/mahavir-pratap-sharma-26476915', '', '', '', '', '', 'https://in.linkedin.com/in/ajaydatta', 'https://in.linkedin.com/in/mahavir-pratap-sharma-26476915', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '']","[Timestamp('2014-09-12 00:00:00'), Timestamp('2014-09-12 00:00:00'), Timestamp('2014-09-12 00:00:00'), Timestamp('2014-09-12 00:00:00'), Timestamp('2014-09-12 00:00:00'), Timestamp('2014-09-12 00:00:00'), Timestamp('2014-09-12 00:00:00'), Timestamp('2014-09-12 00:00:00'), Timestamp('2014-09-12 00:00:00'), Timestamp('2014-11-07 00:00:00'), Timestamp('2014-11-07 00:00:00'), Timestamp('2014-11-07 00:00:00'), Timestamp('2014-11-07 00:00:00')]","['', '', '', '', '', '', '', '', '', '', '', '', '']",,,,VCC,['Media Advertising and Gaming'],"['', '', '', '', '', '', '', '', '', '', '', '', '']",Angel investment,Rajasthan,Jaipur,"['Pawas Jain', 'Deepanshu Khandelwal']",http://www.blueboxmedia.co,26.87063,75.693398,Jaipur
YNOS0328,BLUEBIRCH,Industrials,Industrial goods and services,,,,B2B2C,,"Blubirch offers End-To-End Reverse Logistics Solution that helps Retailers, Enterprises, and Individuals in maximizing the value from unutilized inventory in a transparent, trustful and compliant way and technology enabled platform ensures optimal recovery through smart channel allocation",[''],2014-01-01,['Delivery services and logistics'],,,,['Seed Funding'],['SANJAY MEHTA'],['Angel'],"['Reverse logistics', 'Maximize recovery from returns']",[''],[''],[Timestamp('2015-12-16 00:00:00')],[128.30496509999998],,,,TrakIn,['Hyperlocal and Logistics'],['Seed'],Angel investment,Karnataka,Bengaluru,['Sappan Jain'],,13.094454,77.586014,Bengaluru
